system,fault_bus,branch,t_clear,mean_dd,max_dd,mean_w,max_w,spread_dd,ke_clear,unstable
9-bus,1,1-4,0.02,0.005250647096286355,0.008111086203193119,0.5203540055474312,0.8008792327230441,0.002976556838856495,0.013021620064406735,1
9-bus,1,1-4,0.045238095238095244,0.026264499487797976,0.04019398585585404,1.1378078596647871,1.7260178088485274,0.014758362913846674,0.06265941198371656,1
9-bus,1,1-4,0.07047619047619048,0.06233700560936276,0.09447484060102207,1.7141530264267502,2.56095688276692,0.03472230361524131,0.14322882951247848,1
9-bus,1,1-4,0.09571428571428572,0.11246652595422313,0.16875568911401906,2.252236375848261,3.312039067064455,0.062106966593613186,0.24917303487280856,1
9-bus,1,1-4,0.12095238095238096,0.17572347732436155,0.261007137389879,2.7549151667597953,3.9862508860354113,0.09622626464089773,0.3758680716879572,1
9-bus,1,1-4,0.14619047619047618,0.25125013440121574,0.36938235957825893,3.225020371958058,4.591042633330796,0.13646962540053126,0.51947853378924,1
9-bus,1,1-4,0.17142857142857143,0.33825950444099,0.4922264483992633,3.665320340853371,5.134141273554456,0.18229958228231066,0.6768197929783983,1
9-bus,1,1-4,0.19666666666666668,0.43603331390371897,0.62808103453551,4.07848710534527,5.623363935105524,0.2332470838685066,0.8452320728111101,1
9-bus,1,1-4,0.2219047619047619,0.5439191963282193,0.7756842830224522,4.467066970789909,6.124605259541339,0.2889050006246091,1.0224707772695123,1
9-bus,1,1-4,0.24714285714285714,0.6613272021791623,0.9339665345529182,4.83345629469305,6.689654724047242,0.3489204130038689,1.2066159312508535,1
9-bus,1,1-4,0.2723809523809524,0.7877257657326444,1.1020419893182583,5.179882662281138,7.227953323670289,0.4129863052728214,1.396001722049482,1
9-bus,1,1-4,0.29761904761904767,0.9226372619684148,1.2791969146943776,5.508391134305657,7.739070730191525,0.4808332619667878,1.5891652908938647,1
9-bus,1,1-4,0.3228571428571429,1.0656332739788856,1.464874907301017,5.820834944104892,8.222636596997047,0.5522216799966578,1.7848123820799833,1
9-bus,1,1-4,0.3480952380952381,1.216329674547049,1.6606186794182276,6.118869969474659,8.678407553265659,0.6269348857592315,1.9817963850040248,1
9-bus,1,1-4,0.3733333333333334,1.3743816100535342,1.8851035291714273,6.403952452376167,9.10632080528182,0.7047734030095354,2.1791067742379235,1
9-bus,1,1-4,0.39857142857142863,1.539478464694591,2.1200379520468147,6.677339696484689,9.50653269166519,0.7855504728173447,2.3758629573776364,1
9-bus,1,1-4,0.42380952380952386,1.7113388795730928,2.364727320293637,6.940093735128616,9.879441296211438,0.8690887975871164,2.571310011622175,1
9-bus,1,1-4,0.4490476190476191,1.8897059035123978,2.6184901899103323,7.1930881394427,10.225693103813256,0.9552183784035293,2.764813613602004,1
9-bus,1,1-4,0.4742857142857143,2.0743423575262647,2.8806644943938196,7.437018172144769,10.546174650098619,1.0437752455727836,2.9558524945013334,1
9-bus,1,1-4,0.4995238095238096,2.2650264989365536,3.150613357505952,7.672414374643843,10.84199107131942,1.1346008480552403,3.144007817636571,1
9-bus,1,1-4,0.5247619047619048,2.4615480704752835,3.427730227265024,7.899659436489652,11.114434281310903,1.227541866022622,3.3289498172322665,1
9-bus,1,1-4,0.55,2.6637048119883726,3.711443110134196,8.119007900436737,11.364944056647238,1.3224502360847767,3.5104227260705763,1
9-bus,4,4-5,0.02,0.005585922725824588,0.008470486381574494,0.553621771786165,0.836449780042175,0.0031858218157563996,0.014964566809146857,0
9-bus,4,4-5,0.045238095238095244,0.027947905876962054,0.04199162679891355,1.2110272000180415,1.804108675700705,0.015821110087254474,0.07207271111074912,0
9-bus,4,4-5,0.07047619047619048,0.06635218041435935,0.09876627153544859,1.825425963374961,2.6803975917315745,0.037289335374150176,0.16489291151692884,0
9-bus,4,4-5,0.09571428571428572,0.11975300900588919,0.17658162722555537,2.399947952468197,3.472740562512392,0.06682751642894616,0.2870990533718961,0
9-bus,4,4-5,0.12095238095238096,0.18718252618136721,0.27341461358907027,2.937630929085252,4.188727768358366,0.10374923654456378,0.43338484490331863,0
9-bus,4,4-5,0.14619047619047618,0.26774816472096274,0.38743457088965094,3.4414010181810863,4.835998020534612,0.14744088928337748,0.599300976919231,0
9-bus,4,4-5,0.17142857142857143,0.3606296089311954,0.5170030342426206,3.9140549240321767,5.422124425122281,0.19735661689173528,0.7811089967877114,0
9-bus,4,4-5,0.19666666666666668,0.46507533135093365,0.6606706963253645,4.358244824408698,6.040844018387886,0.25301225002715505,0.9756536255366081,0
9-bus,4,4-5,0.2219047619047619,0.5803987878841546,0.8171717533773344,4.776466458512242,6.678394064025818,0.31397860021291435,1.1802544812513434,0
