n_shots,mean_accuracy,std_accuracy
50,0.8013513513513514,0.024585682971162502
67,0.8094594594594595,0.022572017687148734
91,0.8094594594594595,0.014741502857615834
122,0.8087837837837839,0.01750247817160624
165,0.8121621621621621,0.013445776177116482
222,0.8087837837837839,0.011123025427806988
300,0.8101351351351351,0.009531578364639115
404,0.8128378378378379,0.007118684968143729
545,0.8128378378378379,0.00933802362235489
734,0.8108108108108109,0.0
990,0.8108108108108109,0.0
1334,0.8114864864864867,0.004219593242161071
1798,0.8108108108108109,0.0
2424,0.8108108108108109,0.0
3267,0.8108108108108109,0.0
4403,0.8108108108108109,0.0
5935,0.8108108108108109,0.0
8000,0.8108108108108109,0.0
